block_index,block_hash,block_lsbs_hex,block_lsbs_for_integer_sat,sat_name,sat_block_heigh,sat_block_offset,block_index_gle_sat_block_index
13747,000000008164233bef4f1ebb3bff6d55ed28de900b77eb00000674e99dad7a88,674e99dad7a88,1817396581857928,azagmmiqvcj,613917,331857928,Less
41390,0000000028ca132f5725c3dbf35f8a7d7c1febcbecf76ef90002d0f6d6d592cc,2d0f6d6d592cc,792708538274508,iftdfdocber,158541,3538274508,Less
76872,00000000001515c3fb1a41332630e92447150b3ffc9cc96700058e9aacfa6227,58e9aacfa6227,1564169861751335,ctqwlwgktti,415667,2361751335,Less
79608,00000000002ac5d92818b1128b935296904e08d6cc97264d00064aaf4eaf602f,64aaf4eaf602f,1770966660112431,bhopgchkera,576773,410112431,Less
80456,0000000000232b95f33bcf6997f46701208ee1558b7f7c350001b38b37d59cfe,1b38b37d59cfe,478885495282942,klnxspifetv,95777,495282942,Less
83144,0000000000021e3f0e0d1531b53f411c63f2c5b3849beb880004948231afb509,4948231afb509,1289186807100681,eshrfhjkssu,305674,1807100681,Less
100551,000000000000776a7bde8be149217fa7746a720ca20614440006233ff558ac8b,6233ff558ac8b,1727607466405003,bpofrjjwsmo,542085,1216405003,Less
103159,000000000002944ced8c722b3daf69d03df82fbc464ea4300002e4f1865d5b38,2e4f1865d5b38,814675945937720,ibrydvhvaxt,162935,945937720,Less
110691,0000000000006c96dbdf3f48376e99b7f7b7e57d95bd3c8b0004b5bb45a2d2ac,4b5bb45a2d2ac,1325715838653100,elotedeclar,320286,838653100,Less
113735,000000000000d53fc93e8dae35c2a966b1a6a5e25ec123ef0003378695a0f5a5,3378695a0f5a5,905476105631141,hkzdcbjtqvk,181095,1105631141,Less
126541,0000000000001c468607bc8a3c0d86968ec1b8ca357e9db500046b7744459d2c,46b7744459d2c,1244059897535788,faptswwgsth,287623,2397535788,Less
144450,000000000000023d17b9085110034efbb0f18b5bec677a1e0004ebc920ec400d,4ebc920ec400d,1385148980150285,eaqdlkwckkq,344059,1480150285,Less
169789,000000000000026aeff90a0f8ca67a9c2b39d99062a65aec00048a20cbaf7aae,48a20cbaf7aae,1277773367704238,eukigbiiudn,301109,867704238,Less
173524,00000000000005f653944216ee59424345df96de4cd7c1800004494b8823c431,4494b8823c431,1206488662262833,fhnrnumrano,272595,1162262833,Less
194727,000000000000020e4fb4fd249b7b712aa056215ffc4c8db00000e5291e553aa3,e5291e553aa3,251964765321891,mbiomctehpe,50392,4765321891,Greater
204521,0000000000000505d0a421ed48d19be5dabbb4262a3f542f00041f07d1c8544d,41f07d1c8544d,1160018351641677,fqcfiduilou,254007,851641677,Less
207653,00000000000004ccc9aa3f3e5f1186db0f08e7b83fe1fefc0002e6e02c0c8dfa,2e6e02c0c8dfa,816800439504378,ibhtqopgekl,163360,439504378,Greater
224521,000000000000035a639c789236ea9732ba393cf5176ba2ea000679f76fdd4798,679f76fdd4798,1822953500919704,axzqqajsxaf,618362,1000919704,Less
225049,000000000000019b181fd7557322baa723e42da4f73683a4000624f2573bf30c,624f2573bf30c,1729473124496140,bpfhjzqqtgf,543578,624496140,Less
233880,000000000000002110375867790df2770b13eb472f5e8b370000bd7e36fe7fb8,bd7e36fe7fb8,208349786177464,mjjktkcpljt,41669,4786177464,Greater
234162,00000000000000f23ae7aa57ad1a93db259096b9755a9256000641b580e369e1,641b580e369e1,1761097667537377,bjjvzhjhvbc,568878,167537377,Less
239669,000000000000002e4ebd7d09d55e30f70bfd754f056447050002855ca5f35a4b,2855ca5f35a4b,709582921095755,ivbetlanawk,141916,2921095755,Greater
253228,000000000000000234c318c614e6435da4429263f50502d500010a9dfb36f8cb,10a9dfb36f8cb,293148617537739,lttiwrzsida,58629,3617537739,Greater
255358,000000000000001d33147b87fef65497925c9ffc31d7743f00008d2b44670ee5,8d2b44670ee5,155216970714853,mtdwbdjdrcu,31043,1970714853,Greater
257001,000000000000001f63128296d97334405cb5eafc4f5c86080000828cc47dde6a,828cc47dde6a,143541103615594,mvhttkqhdmt,28708,1103615594,Greater
261126,000000000000000f7e2a66a35d4a75c4ebca670bf2100c8b00042fbe16714529,42fbe16714529,1178393373656361,fmsfnvxactk,261357,873656361,Less
266743,000000000000000434c35025bdd5dc54b3454952a4d48df4000321a2f05106df,321a2f05106df,881408630392543,hpkjpongakw,176281,3630392543,Greater
289306,0000000000000000ec7a26e5742257d1ea26bed78505ad6a000288e64fb87d76,288e64fb87d76,713472714767734,iuiolrfyuad,142694,2714767734,Greater
291283,0000000000000000bbd78c23a12aad1d9f1fa668a677c0590003f0f09946311e,3f0f09946311e,1109341084463390,fzkwwyzrtcd,233736,1084463390,Greater
300594,00000000000000007a8d459adef9d36c30d6f22ba1be5d9500066b438ed40ae2,66b438ed40ae2,1806787763505890,bazbipcjlit,605430,263505890,Less
312336,000000000000000002364655eba5569f6a473ee4998b515100065b6595be476f,65b6595be476f,1789341722363759,beeplraaoek,591473,472363759,Less
330138,000000000000000006fc0a228edc7acf37e74a89df2be0ff0003059e72ba81dc,3059e72ba81dc,850603017929180,hvbxbhfvqnt,170120,3017929180,Greater
333318,0000000000000000017e42ab0e6acd76278d3510f4ce1c71000659b58a3f49f1,659b58a3f49f1,1787486103620081,benmmnuedsi,589988,1103620081,Less
334537,000000000000000000a3795a9b47c158383a2eb0b69e5bc1000248cbe6f50869,248cbe6f50869,642990543800425,jhibvmvcpsa,128598,543800425,Greater
348964,00000000000000001328eaaf32fea3f11894573c56cf02950004f1c623a4d730,4f1c623a4d730,1391733210666800,dzkprkwvjgb,346693,710666800,Greater
361103,000000000000000005a1c3531350ad408a3510b08ed4a2800001a23f8724b253,1a23f8724b253,459868710679123,kpazkjjugck,91973,3710679123,Greater
364502,000000000000000005593b0236a85c2ca018964545bb45f20001401da41b79ad,1401da41b79ad,351971028203949,lixrfabfiie,70394,1028203949,Greater
368090,000000000000000006f4f974d29744c82d3fd3c6e462feed000104ca5aca2f85,104ca5aca2f85,286742129815429,luyanieqtua,57348,2129815429,Greater
377972,0000000000000000110b50d36c870da9f1e3caa17d8b7bde0000a72aafd680e6,a72aafd680e6,183801780535526,mnwzclgdqxf,36760,1780535526,Greater
380435,00000000000000000d1e5d8198e7a57a90ad76e5302abe3b0006d7969a2c4e9c,6d7969a2c4e9c,1925891691925148,afashwzerpd,771426,441925148,Less
383244,000000000000000007fac371dd6c2ff85f936d643f9108ce000136c6ac2a86ed,136c6ac2a86ed,341701896603373,lkuvtmyvsci,68340,1896603373,Greater
385943,00000000000000000bd1e501d09667da3d8a7cfb4aedcb63000033612f5dd909,33612f5dd909,56492499523849,nlipsxpzhoq,11298,2499523849,Greater
391618,000000000000000000cbf4b8d538256844cee61cac6b20080001a9016dd9cf3d,1a9016dd9cf3d,467298579763005,knrkixysiqm,93459,3579763005,Greater
404823,000000000000000005f1076e85f56ac930974f5d52eff7a400023e39fbd3a400,23e39fbd3a400,631368712430592,jjlsuwdxvcj,126273,3712430592,Greater
420457,00000000000000000471028d5c4412011cbb2ce1d4c68b6700047e23a0c474c6,47e23a0c474c6,1264591393027270,ewvlluquaat,295836,1393027270,Greater
455742,0000000000000000013b49362dabee725d78387de13c23040000cdfe802df439,cdfe802df439,226492955882553,mganvqdkbxg,45298,2955882553,Greater
456235,0000000000000000013ad4e21e5d7e7ece9f9bf44054f22c00057bfa26fe4b57,57bfa26fe4b57,1543689209793367,cxkykjfbquc,407475,1709793367,Greater
464316,000000000000000000afb346eeff2de5a7fb634503a4bcba0002132df4495904,2132df4495904,584038046324996,jsejshokjuz,116807,3046324996,Greater
475902,0000000000000000000dacd48eb552efaf8982837a99dddd0002d00593e17d1a,2d00593e17d1a,791672327863578,ifycfmoacqx,158334,2327863578,Greater
479832,000000000000000000cb36b22a88e995b3f46d95680ec9e000041bf9a038bbd0,41bf9a038bbd0,1156658855721936,fqshpgwzjxh,252663,1355721936,Greater
493553,00000000000000000080e40d0113acddac636302b4f8731d0005e565b20c6e82,5e565b20c6e82,1659599825170050,ccbwyvitovf,487679,1075170050,Greater
503826,00000000000000000064c63971e5bc9322f07054dfce4435000376a8c37fcd44,376a8c37fcd44,974892136648004,gyesllvhziz,194978,2136648004,Greater
505154,00000000000000000069c63606451e28cbf41b0ed79be8980003607e93010601,3607e93010601,950521678595585,hcrkrtprxrk,190104,1678595585,Greater
506785,00000000000000000067000bc07ae358388dec1c25552a160003f56dc4beefee,3f56dc4beefee,1114276731219950,fyngjqqecqd,235710,1731219950,Greater
510173,0000000000000000004eaa9ac5be253b62afda61be35a0370002ff79e2a97efd,2ff79e2a97efd,843848912305917,hwifzeupeie,168769,3912305917,Greater
512816,0000000000000000004dea2fb105e40d2c81233c6e8623700004e2373029733c,4e2373029733c,1374626565944124,econnvjswvd,339850,1565944124,Greater
517082,00000000000000000044c282b038edb194b5adbf5412f5b000049de3ddb963c2,49de3ddb963c2,1299501909894082,eqkgxzhcbvr,309800,1909894082,Greater
520287,0000000000000000003fa4ba44aabfb16988e90dd59fde170006dca75339983f,6dca75339983f,1931461074196543,aeaaxcbawww,780337,449196543,Less
522527,0000000000000000001701dfbd09dffc5e3e2b1de6e100c4000261fafe87529a,261fafe87529a,670680593420954,jcfmhgmslad,134136,593420954,Greater
522949,00000000000000000027dc32fbe060e64da391708e6705bb0004c2b20837a9b0,4c2b20837a9b0,1339969804675504,eiymmfijlen,325987,2304675504,Greater
527057,0000000000000000002b6188cf72212a2423ad2530b7422d000472644ce6212c,472644ce6212c,1251675019288876,ezfhptpadfp,290670,19288876,Greater
532048,0000000000000000002c584c85ef62288d487357767d66800001f10e1d06f9a0,1f10e1d06f9a0,546517895543200,jzcbdvqrjrt,109303,2895543200,Greater
534238,0000000000000000000356cd9dec121a06da45b7884eb34b0001996bef1af920,1996bef1af920,450163828783392,kqvlsiamxjt,90032,3828783392,Greater
534809,000000000000000000073f79eb568afaa234f4e1ec439fb00001819973e5da5f,1819973e5da5f,423971051133535,kvqwvrynzeg,84794,1051133535,Greater
537732,000000000000000000129457c6155f6fc97289137c9162ec00013e02fa783f6e,13e02fa783f6e,349657489751918,ljitgfulydf,69931,2489751918,Greater
548211,0000000000000000000b6349700d5fdeaf08da781706f3aa0005011d2eb75640,5011d2eb75640,1408599732999744,dwhvsijljjd,353439,2232999744,Greater
550639,00000000000000000013160a2b6968d2651b5a2349c7bf270001e6b8df808813,1e6b8df808813,535156674824211,kbelropnsve,107031,1674824211,Greater
562782,000000000000000000117f6c893914ee28367a1e6b96f3050000a5690bc99eb6,a5690bc99eb6,181870587911862,mogfnysncwx,36374,587911862,Greater
567486,00000000000000000016e6a2f0fc32ab3da8bd843339e30500021dbf6a2c5686,21dbf6a2c5686,595657910670982,jqaszhuamzz,119131,2910670982,Greater
583267,0000000000000000000a880e6ec37e4469839ccd13da42120003643c31ee35e1,3643c31ee35e1,954634628642273,hbxsppuiomi,190926,4628642273,Greater
586804,00000000000000000008b8bb555698aaa0d0ebf4eeb584cb00005cfa617b63a0,5cfa617b63a0,102230447055776,ncxpdhxnnlp,20446,447055776,Greater
597167,000000000000000000012e62e166c5f19c93ad40e1b0f81e00062b21585488b5,62b21585488b5,1736272076114101,bnyswxplypw,549017,826114101,Greater
622157,000000000000000000026a1047a0ac0ca05b2cf4760afbb200051e7e506c85ef,51e7e506c85ef,1440902747555311,dqjdvihtgwo,366361,247555311,Greater
628139,0000000000000000000ad0affe960c408bec3be6d72ce9c3000616858c1106b5,616858c1106b5,1713612696651445,bsdgcfwtfdk,530890,196651445,Greater
639365,000000000000000000036236c1bb8db4b456dc84703158a20003aabbe38b6ef8,3aabbe38b6ef8,1032148883304184,gnqnsanjqht,206429,3883304184,Greater
673359,00000000000000000001a71194beec34db67a32c4bb6935c0004d39b8de0e15e,4d39b8de0e15e,1358564960559454,efnlhhujtxr,333425,2460559454,Greater
698602,0000000000000000000d2dc6055d525b7ad07ce4d5f8b477000580e7e3ba8f19,580e7e3ba8f19,1549108330008345,cwkzrzdeuqa,409643,830008345,Greater
703655,0000000000000000000d199a7b26527a61b6040d638077650002a45759c9ccf6,2a45759c9ccf6,743645028928758,ioubwahfuch,148729,28928758,Greater
704072,0000000000000000000c1eac8f24dc21a7d1167400f657af0001522357bf1eb4,1522357bf1eb4,371786726186676,lfgubbemvzh,74357,1726186676,Greater
721356,0000000000000000000182143d6ab54ca202382116599ae90003b258d46dd3eb,3b258d46dd3eb,1040519520965611,gmclnezpzle,208103,4520965611,Greater
724621,000000000000000000060e74700bc600009bc6db2617eec400023c9519706217,23c9519706217,629561028010519,jjujwonlhxi,125912,1028010519,Greater
726407,000000000000000000083dd7a2c3111b4e30c2596532e3040004f89a9a1dd19f,4f89a9a1dd19f,1399242801140127,dyaqrxrnwhu,349697,301140127,Greater
729329,00000000000000000008361adc4826a744a74d1a1ede88560001943ee9ae51e1,1943ee9ae51e1,444472906109409,krwsgoljdau,88894,2906109409,Greater
742480,000000000000000000063ab55a3554390caa29769bddeac90006bff1441e9bf1,6bff1441e9bf1,1899892811144177,ajvfhpmyrrk,729828,311144177,Greater
751831,00000000000000000002befd0e2fb6ad27957120d63df6b8000283bce78eee18,283bce78eee18,707797315415576,ivjtbrddrvt,141559,2315415576,Greater
762533,00000000000000000000c67e1c7142ff79a3892e0527cd2600058dfe4918e4a1,58dfe4918e4a1,1563498171131041,ctuccfidtsa,415399,671131041,Greater
772665,000000000000000000056a5b2ed40a6e68154349a1d2046d000148a493645634,148a493645634,361346661373492,lhetwwtblsn,72269,1661373492,Greater
777978,000000000000000000046620caddf12c6eceec709b9fbf340002a737d024b033,2a737d024b033,746808110526515,ioeyasluine,149361,3110526515,Greater
784986,00000000000000000002b6d76c6d857f3e72e7a71ed394720003b235f6165c58,3b235f6165c58,1040369761803352,gmdedznkjsj,208073,4761803352,Greater
807312,000000000000000000050e6d720bf7d8afda6e3ea56ad4170000c85e975aa8d2,c85e975aa8d2,220308591782098,mhedvffmsdb,44061,3591782098,Greater
809741,000000000000000000008a23a3d3f1dcc86508c6d877306d00000d568643d69c,d568643d69c,14665270941340,ntaxlajdckj,2933,270941340,Greater
818716,0000000000000000000109f8b76c6c5ec635893ed1d72f5100022b6682133af5,22b6682133af5,610669222378229,jngvztrrxvo,122133,4222378229,Greater
822331,00000000000000000001eb8bdb9382a7636d68d0b16462b600028abf3072e143,28abf3072e143,715503709643075,ityvpbwlrba,143100,3709643075,Greater
825404,00000000000000000002b1ef96ba88e1cf2c60a95f9c154b0000ee2faa4dbabb,ee2faa4dbabb,261888488094395,lznaxthgcqw,52377,3488094395,Greater
